Codigo_IES;Nombre_IES;Departamento;Sector;Total_Matriculados;Total_Graduados;Total_Inscritos;Total_Admitidos;Total_Primer_Curso;Total_Docentes;Total_Administrativos;Tasa_Graduacion;Tasa_Admision;Tasa_Absorcion;Ratio_Docentes_Matriculados
9906;CORPORACION UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL- CUDES;VALLE DEL CAUCA;PRIVADA;2539;215.0;1008.0;820.0;589;586.0;444.0;0.0847;0.8135;0.7183;0.2308
9906;CORPORACIÃN UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL - MISIÃN PAZ.;VALLE DEL CAUCA;PRIVADA;383;215.0;1008.0;820.0;589;586.0;444.0;0.5614;0.8135;0.7183;1.53
9907;FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA;Huila;PRIVADA;31451;1677.0;9418.0;7021.0;4638;2937.0;1824.0;0.0533;0.7455;0.6606;0.0934
9910;FUNDACION UNIVERSITARIA LUIS G. PAEZ;BogotÃ¡ - D.C.;PRIVADA;209;176.0;411.0;409.0;343;386.0;83.0;0.8421;0.9951;0.8386;1.8469
9910;FUNDACION UNIVERSITARIA LUIS G. PAEZ - UNILUISGPAEZ;BogotÃ¡ - D.C.;PRIVADA;465;176.0;411.0;409.0;343;386.0;83.0;0.3785;0.9951;0.8386;0.8301
9910;FUNDACION UNIVERSITARIA LUIS G. PAEZ - UNIPAEZ;BogotÃ¡ - D.C.;PRIVADA;297;176.0;411.0;409.0;343;386.0;83.0;0.5926;0.9951;0.8386;1.2997
9913;CORPORACION UNIVERSITARIA DE ASTURIAS;BogotÃ¡ - D.C.;PRIVADA;116929;7051.0;45227.0;43522.0;41404;946.0;2282.0;0.0603;0.9623;0.9513;0.0081
9914;ELITE- ESCUELA LATINOAMERICANA DE INGENIEROS - TECNOLOGOS Y EMPRESARI;BogotÃ¡ - D.C.;PRIVADA;509;648.0;5654.0;4274.0;3517;767.0;418.0;1.2731;0.7559;0.8229;1.5069
9914;ELITE- ESCUELA LATINOAMERICANA DE INGENIEROS - TECNOLOGOS Y EMPRESARIOS;BogotÃ¡ - D.C.;PRIVADA;1596;648.0;5654.0;4274.0;3517;767.0;418.0;0.406;0.7559;0.8229;0.4806
9914;ESEIT - ESCUELA SUPERIOR DE EMPRESA - INGENIERÃA Y TECNOLOGÃA;BogotÃ¡ - D.C.;PRIVADA;6162;648.0;5654.0;4274.0;3517;767.0;418.0;0.1052;0.7559;0.8229;0.1245
9914;ESEIT Â¿ ESCUELA SUPERIOR DE EMPRESA - INGENIERÂ¿A Y TECNOLOGÂ¿A;BogotÃ¡ - D.C.;PRIVADA;446;648.0;5654.0;4274.0;3517;767.0;418.0;1.4529;0.7559;0.8229;1.7197
9915;UNIVERSITARIA VIRTUAL INTERNACIONAL;BogotÃ¡ - D.C.;PRIVADA;14773;1053.0;9753.0;7741.0;6822;697.0;276.0;0.0713;0.7937;0.8813;0.0472
9918;INSTITUCION UNIVERSITARIA CONOCIMIENTO E INNOVACION PARA LA JUSTICIA - CIJ;CUNDINAMARCA;OFICIAL;36;0.0;95.0;49.0;36;24.0;65.0;0.0;0.5158;0.7347;0.6667
9921;FUNDACION UNIVERSITARIA CATOLICA DEL SUR - UNICATOLICA DEL SUR;NariÃ±o;PRIVADA;2430;110.0;1209.0;685.0;492;351.0;238.0;0.0453;0.5666;0.7182;0.1444
9922;FUNDACION UNIVERSITARIA COMFAMILIAR RISARALDA;RISARALDA;PRIVADA;16368;1462.0;8585.0;6525.0;5926;1262.0;527.0;0.0893;0.76;0.9082;0.0771
9923;CORPORACION UNIVERSITARIA DE CATALUÃA;BogotÃ¡ - D.C.;PRIVADA;1757;31.0;867.0;749.0;664;83.0;444.0;0.0176;0.8639;0.8865;0.0472
9923;CORPORACION UNIVERSITARIA DE CATALUÃA ;BogotÃ¡ - D.C.;PRIVADA;9;31.0;867.0;749.0;664;83.0;444.0;3.4444;0.8639;0.8865;9.2222
9924;FUNDACION UNIVERSITARIA INTERNACIONAL DE COLOMBIA - UNINCOL;BogotÃ¡ - D.C.;PRIVADA;762;0.0;401.0;401.0;374;191.0;87.0;0.0;1.0;0.9327;0.2507
9926;FUNDACION UNIVERSITARIA INTERNACIONAL DE LA RIOJA - UNIR;BogotÃ¡ - D.C.;PRIVADA;48468;4395.0;22470.0;22062.0;20767;997.0;4129.0;0.0907;0.9818;0.9413;0.0206
9927;INSTITUCION UNIVERSITARIA DIGITAL DE ANTIOQUIA -IU. DIGITAL;ANTIOQUIA;OFICIAL;58533;1458.0;54270.0;39006.0;21084;2859.0;507.0;0.0249;0.7187;0.5405;0.0488
9928;FUNDACIÃN UNIVERSITARIA SALESIANA;BogotÃ¡ - D.C.;PRIVADA;1741;0.0;895.0;694.0;488;234.0;366.0;0.0;0.7754;0.7032;0.1344
9928;FundaciÃ³n Universitaria Salesiana;BogotÃ¡ - D.C.;PRIVADA;42;0.0;895.0;694.0;488;234.0;366.0;0.0;0.7754;0.7032;5.5714
9929;UNIVERSIDAD AUTÃNOMA INDÃGENA INTERCULTURAL - UAIIN;Cauca;OFICIAL;6159;203.0;2213.0;2137.0;2272;0.0;0.0;0.033;0.9657;1.0632;0.0
9929;Universidad AutÂ¿noma IndÂ¿gena Intercultural - UAIIN;Cauca;OFICIAL;1060;203.0;2213.0;2137.0;2272;0.0;0.0;0.1915;0.9657;1.0632;0.0
9929;Universidad AutÃ³noma IndÃ­gena Intercultural - UAIIN;Cauca;OFICIAL;901;203.0;2213.0;2137.0;2272;0.0;0.0;0.2253;0.9657;1.0632;0.0
9930;INSTITUCIÃN UNIVERSITARIA COMANDO DE EDUCACIÃN Y DOCTRINA - CEDOC DEL EJÃRCITO NACIONAL;BogotÃ¡ - D.C.;OFICIAL;1562;342.0;534.0;535.0;545;365.0;478.0;0.219;1.0019;1.0187;0.2337
9931;FUNDACION UNIVERSITARIA PATRICIO SYMES;BogotÃ¡ - D.C.;PRIVADA;49;10.0;347.0;321.0;159;46.0;0.0;0.2041;0.9251;0.4953;0.9388
9931;FUNDACIÃN UNIVERSITARIA PATRICIO SYMES;BogotÃ¡ - D.C.;PRIVADA;149;10.0;347.0;321.0;159;46.0;0.0;0.0671;0.9251;0.4953;0.3087
9932;FUNDACIÃN UNIVERSITARIA SAN PABLO - UNISANPABLO;BogotÃ¡ - D.C.;PRIVADA;229;1.0;97.0;92.0;86;133.0;178.0;0.0044;0.9485;0.9348;0.5808
9933;UNIVERSIDAD NACIONAL DE COLOMBIA;Cesar;OFICIAL;9976;13.0;5629.0;2265.0;1773;488.0;306.0;0.0013;0.4024;0.7828;0.0489
9934;CENTRO DE ESTUDIOS AERONÃUTICOS - CEA;BogotÃ¡ - D.C.;OFICIAL;335;54.0;204.0;128.0;115;135.0;278.0;0.1612;0.6275;0.8984;0.403
9935;UNIDAD TECNOLÃGICA DEL MAGDALENA MEDIO - UTEM -;SANTANDER;PRIVADA;566;51.0;272.0;238.0;219;54.0;85.0;0.0901;0.875;0.9202;0.0954
9936;CORPORACIÃN UNIVERSITARIA AUTÃNOMA DEL NORTE;NORTE DE SANTANDER;PRIVADA;1232;20.0;755.0;397.0;383;329.0;324.0;0.0162;0.5258;0.9647;0.267
9938;UNIVERSITARIA DEL CHICAMOCHA;SANTANDER;PRIVADA;52;0.0;54.0;52.0;52;10.0;78.0;0.0;0.963;1.0;0.1923
